hotel_name,score,top_restaurants,borough,neighborhood,brand,city,address,lat,lon
Fairfield Inn & Suites New York Manhattan/Times Square South,0.903228,"[{""name"": ""Vito's Slices and Ices"", ""score"": 0.938, ""rating"": 4.6, ""price"": ""$"", ""distance_m"": 119.3, ""cuisines"": [""pizza"", ""shavedice"", ""italian""], ""lat"": 40.7545, ""lon"": -73.99528, ""url"": ""https://www.yelp.com/biz/vitos-slices-and-ices-new-york-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Sergimmo Salumeria"", ""score"": 0.906, ""rating"": 4.2, ""price"": ""$$"", ""distance_m"": 132.4, ""cuisines"": [""italian"", ""sandwiches""], ""lat"": 40.754296, ""lon"": -73.995498, ""url"": ""https://www.yelp.com/biz/sergimmo-salumeria-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Longo Bros"", ""score"": 0.896, ""rating"": 4.0, ""price"": ""$$$"", ""distance_m"": 116.7, ""cuisines"": [""pizza"", ""cocktailbars"", ""italian""], ""lat"": 40.754825, ""lon"": -73.994862, ""url"": ""https://www.yelp.com/biz/longo-bros-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Zoob Zib Thai Authentic Noodle Bar"", ""score"": 0.896, ""rating"": 4.0, ""price"": ""$$"", ""distance_m"": 118.2, ""cuisines"": [""thai"", ""noodles""], ""lat"": 40.75438, ""lon"": -73.99536, ""url"": ""https://www.yelp.com/biz/zoob-zib-thai-authentic-noodle-bar-new-york-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Sushi Star"", ""score"": 0.88, ""rating"": 3.8, ""price"": ""$$"", ""distance_m"": 124.7, ""cuisines"": [""sushi"", ""japanese""], ""lat"": 40.75444, ""lon"": -73.99532, ""url"": ""https://www.yelp.com/biz/sushi-star-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Manhattan,Times Square South,Fairfield Inn & Suites by Marriott,New York,"338 W 36th St, New York, NY 10018",40.754011,-73.993972
Residence Inn New York Manhattan/Central Park,0.8997,"[{""name"": ""SUGARFISH | Midtown West"", ""score"": 0.919, ""rating"": 4.3, ""price"": ""$$$"", ""distance_m"": 111.4, ""cuisines"": [""japanese"", ""sushi""], ""lat"": 40.764961, ""lon"": -73.981612, ""url"": ""https://www.yelp.com/biz/sugarfish-midtown-west-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Yakitori Totto"", ""score"": 0.898, ""rating"": 4.0, ""price"": ""$$"", ""distance_m"": 110.5, ""cuisines"": [""japanese""], ""lat"": 40.765375, ""lon"": -73.983114, ""url"": ""https://www.yelp.com/biz/yakitori-totto-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Nocello"", ""score"": 0.896, ""rating"": 4.0, ""price"": ""$$$"", ""distance_m"": 117.3, ""cuisines"": [""italian"", ""venues"", ""wine_bars""], ""lat"": 40.76535857831784, ""lon"": -73.98338622822433, ""url"": ""https://www.yelp.com/biz/nocello-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Patsy's Italian Restaurant"", ""score"": 0.894, ""rating"": 4.0, ""price"": ""$$$"", ""distance_m"": 125.4, ""cuisines"": [""italian"", ""southern"", ""wine_bars""], ""lat"": 40.76553, ""lon"": -73.98274, ""url"": ""https://www.yelp.com/biz/patsys-italian-restaurant-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Donburiya"", ""score"": 0.892, ""rating"": 3.9, ""price"": ""$$"", ""distance_m"": 108.8, ""cuisines"": [""japanese"", ""seafood"", ""desserts""], ""lat"": 40.76528, ""lon"": -73.98326, ""url"": ""https://www.yelp.com/biz/donburiya-new-york-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Manhattan,Central Park South,Residence Inn by Marriott,New York,"1717 Broadway, New York, NY 10019",40.76442,-73.98275
"The Ritz-Carlton New York, NoMad",0.89173,"[{""name"": ""KazuNori | NoMad"", ""score"": 0.941, ""rating"": 4.5, ""price"": ""$$"", ""distance_m"": 81.2, ""cuisines"": [""sushi"", ""japanese""], ""lat"": 40.74519, ""lon"": -73.98824, ""url"": ""https://www.yelp.com/biz/kazunori-nomad-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Andiamo Pizza"", ""score"": 0.939, ""rating"": 4.6, ""price"": ""$"", ""distance_m"": 114.6, ""cuisines"": [""pizza"", ""italian"", ""catering""], ""lat"": 40.746144, ""lon"": -73.990189, ""url"": ""https://www.yelp.com/biz/andiamo-pizza-new-york-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Ulivo"", ""score"": 0.892, ""rating"": 4.0, ""price"": ""$$"", ""distance_m"": 131.4, ""cuisines"": [""italian"", ""cocktailbars""], ""lat"": 40.7447371960713, ""lon"": -73.9880339428782, ""url"": ""https://www.yelp.com/biz/ulivo-new-york-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Cecconi’s"", ""score"": 0.864, ""rating"": 3.4, ""price"": ""$$$"", ""distance_m"": 81.1, ""cuisines"": [""italian"", ""breakfast_brunch"", ""wine_bars""], ""lat"": 40.74501246219244, ""lon"": -73.98859646727088, ""url"": ""https://www.yelp.com/biz/cecconi-s-new-york-3?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Eat Real Halal"", ""score"": 0.822, ""rating"": 4.8, ""price"": ""$"", ""distance_m"": 47.3, ""cuisines"": [""streetvendors"", ""halal"", ""foodstands""], ""lat"": 40.7452961, ""lon"": -73.9887403, ""url"": ""https://www.yelp.com/biz/eat-real-halal-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Manhattan,Chelsea/NoMad,Ritz-Carlton,New York,"25 W 28th St, New York, NY 10001",40.7456871,-73.9889627
New York Marriott Marquis,0.880252,"[{""name"": ""Patzeria Perfect Pizza"", ""score"": 0.899, ""rating"": 4.0, ""price"": ""$"", ""distance_m"": 106.7, ""cuisines"": [""pizza"", ""italian"", ""pastashops""], ""lat"": 40.75949451155184, ""lon"": -73.98673451962638, ""url"": ""https://www.yelp.com/biz/patzeria-perfect-pizza-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Carmine's - Time Square"", ""score"": 0.892, ""rating"": 4.0, ""price"": ""$$$"", ""distance_m"": 131.5, ""cuisines"": [""italian"", ""venues"", ""seafood""], ""lat"": 40.75747, ""lon"": -73.9866, ""url"": ""https://www.yelp.com/biz/carmines-time-square-new-york-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Bond 45"", ""score"": 0.89, ""rating"": 3.7, ""price"": ""$$$"", ""distance_m"": 64.1, ""cuisines"": [""italian"", ""pizza"", ""newamerican""], ""lat"": 40.7591637016814, ""lon"": -73.9859788257256, ""url"": ""https://www.yelp.com/biz/bond-45-new-york-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""RA Sushi"", ""score"": 0.867, ""rating"": 3.7, ""price"": ""$$"", ""distance_m"": 147.4, ""cuisines"": [""japanese"", ""sushi""], ""lat"": 40.757596, ""lon"": -73.987384, ""url"": ""https://www.yelp.com/biz/ra-sushi-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Sardi's"", ""score"": 0.853, ""rating"": 3.5, ""price"": ""$$$"", ""distance_m"": 148.5, ""cuisines"": [""tradamerican"", ""italian"", ""steak""], ""lat"": 40.75789, ""lon"": -73.98755, ""url"": ""https://www.yelp.com/biz/sardis-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Manhattan,Times Square,Marriott Hotels & Resorts,New York,"1535 Broadway, New York, NY 10036",40.758617,-73.986221
Aloft Manhattan Downtown - Financial District,0.874194,"[{""name"": ""Lil Chef Mama"", ""score"": 0.932, ""rating"": 4.5, ""price"": ""$$"", ""distance_m"": 115.3, ""cuisines"": [""thai""], ""lat"": 40.7086823, ""lon"": -74.0051718664848, ""url"": ""https://www.yelp.com/biz/lil-chef-mama-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Kesté Pizza & Vino"", ""score"": 0.912, ""rating"": 4.2, ""price"": ""$$"", ""distance_m"": 111.4, ""cuisines"": [""pizza"", ""italian"", ""wine_bars""], ""lat"": 40.709135, ""lon"": -74.004645, ""url"": ""https://www.yelp.com/biz/kest%C3%A9-pizza-and-vino-new-york-5?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Rosella's Pizzeria"", ""score"": 0.873, ""rating"": 3.4, ""price"": ""$"", ""distance_m"": 50.2, ""cuisines"": [""pizza"", ""italian""], ""lat"": 40.710117, ""lon"": -74.005661, ""url"": ""https://www.yelp.com/biz/rosellas-pizzeria-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Solace"", ""score"": 0.828, ""rating"": 5.0, ""price"": NaN, ""distance_m"": 73.7, ""cuisines"": [""italian"", ""pizza""], ""lat"": 40.7105, ""lon"": -74.00809, ""url"": ""https://www.yelp.com/biz/solace-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Teriyaki on Wheels"", ""score"": 0.826, ""rating"": 5.0, ""price"": NaN, ""distance_m"": 82.0, ""cuisines"": [""japanese"", ""foodtrucks""], ""lat"": 40.709001391467964, ""lon"": -74.00518342758907, ""url"": ""https://www.yelp.com/biz/teriyaki-on-wheels-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Manhattan,Financial District,Aloft (Marriott),New York,"49-53 Ann St, New York, NY 10038",40.7096658,-74.0056051
Courtyard New York Manhattan/Midtown East,0.872024,"[{""name"": ""Gu Japanese Fusion Sushi & Bar"", ""score"": 0.912, ""rating"": 3.9, ""price"": ""$$"", ""distance_m"": 38.2, ""cuisines"": [""japanese"", ""sushi"", ""bars""], ""lat"": 40.75743, ""lon"": -73.97042, ""url"": ""https://www.yelp.com/biz/gu-japanese-fusion-sushi-and-bar-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Nippon"", ""score"": 0.905, ""rating"": 3.8, ""price"": ""$$$"", ""distance_m"": 38.2, ""cuisines"": [""sushi"", ""japanese"", ""desserts""], ""lat"": 40.75743, ""lon"": -73.97042, ""url"": ""https://www.yelp.com/biz/nippon-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Nare Sushi"", ""score"": 0.896, ""rating"": 3.8, ""price"": ""$$$"", ""distance_m"": 68.2, ""cuisines"": [""sushi"", ""japanese"", ""cocktailbars""], ""lat"": 40.75719922066617, ""lon"": -73.96918797126257, ""url"": ""https://www.yelp.com/biz/nare-sushi-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Sushi Jun"", ""score"": 0.826, ""rating"": 2.8, ""price"": ""$"", ""distance_m"": 69.0, ""cuisines"": [""japanese"", ""korean""], ""lat"": 40.75722, ""lon"": -73.96919, ""url"": ""https://www.yelp.com/biz/sushi-jun-new-york-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""52nd and Lexington Breakfast Cart"", ""score"": 0.822, ""rating"": 5.0, ""price"": ""$"", ""distance_m"": 95.3, ""cuisines"": [""coffee"", ""breakfast_brunch""], ""lat"": 40.757865, ""lon"": -73.970748, ""url"": ""https://www.yelp.com/biz/52nd-and-lexington-breakfast-cart-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Manhattan,Midtown East,Courtyard by Marriott,New York,"866 3rd Ave, New York, NY 10022",40.7574548,-73.9699241
Courtyard New York Manhattan/Upper East Side,0.869327,"[{""name"": ""Koo Thai"", ""score"": 0.951, ""rating"": 4.5, ""price"": ""$$"", ""distance_m"": 46.7, ""cuisines"": [""bubbletea"", ""thai"", ""vietnamese""], ""lat"": 40.78013496548437, ""lon"": -73.9466592, ""url"": ""https://www.yelp.com/biz/koo-thai-new-york-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Yummy Japanese Grill & Sushi Bar"", ""score"": 0.867, ""rating"": 3.3, ""price"": ""$$"", ""distance_m"": 47.1, ""cuisines"": [""sushi"", ""japanese""], ""lat"": 40.780097, ""lon"": -73.946632, ""url"": ""https://www.yelp.com/biz/yummy-japanese-grill-and-sushi-bar-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Akami"", ""score"": 0.845, ""rating"": 3.1, ""price"": ""$$"", ""distance_m"": 75.4, ""cuisines"": [""japanese"", ""sushi"", ""diners""], ""lat"": 40.78049561470769, ""lon"": -73.9469539, ""url"": ""https://www.yelp.com/biz/akami-new-york-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Le Viet Cafe"", ""score"": 0.844, ""rating"": 3.8, ""price"": ""$$"", ""distance_m"": 266.9, ""cuisines"": [""vietnamese"", ""thai"", ""asianfusion""], ""lat"": 40.78111, ""lon"": -73.94902, ""url"": ""https://www.yelp.com/biz/le-viet-cafe-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Delizia 92"", ""score"": 0.84, ""rating"": 3.7, ""price"": ""$"", ""distance_m"": 253.8, ""cuisines"": [""pizza"", ""italian"", ""catering""], ""lat"": 40.78152, ""lon"": -73.94886, ""url"": ""https://www.yelp.com/biz/delizia-92-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Manhattan,Upper East Side,Courtyard by Marriott,New York,"410 E 92nd St, New York, NY 10128",40.7802422,-73.946123
JW Marriott Essex House New York,0.866954,"[{""name"": ""Tuscany Steakhouse"", ""score"": 0.929, ""rating"": 4.5, ""price"": ""$$$"", ""distance_m"": 126.3, ""cuisines"": [""steak"", ""italian"", ""seafood""], ""lat"": 40.76546, ""lon"": -73.97724, ""url"": ""https://www.yelp.com/biz/tuscany-steakhouse-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Angelo's Coal Oven Pizzeria"", ""score"": 0.888, ""rating"": 4.0, ""price"": ""$$"", ""distance_m"": 146.4, ""cuisines"": [""pizza"", ""italian""], ""lat"": 40.76492, ""lon"": -73.97794, ""url"": ""https://www.yelp.com/biz/angelos-coal-oven-pizzeria-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Trattoria Dell'Arte"", ""score"": 0.877, ""rating"": 4.0, ""price"": ""$$$"", ""distance_m"": 188.5, ""cuisines"": [""italian""], ""lat"": 40.76544599, ""lon"": -73.98053136970677, ""url"": ""https://www.yelp.com/biz/trattoria-dellarte-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Topaz Thai Authentic"", ""score"": 0.84, ""rating"": 3.5, ""price"": ""$$"", ""distance_m"": 197.8, ""cuisines"": [""thai"", ""noodles"", ""soup""], ""lat"": 40.7644157409668, ""lon"": -73.9789047241211, ""url"": ""https://www.yelp.com/biz/topaz-thai-authentic-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Loi Estiatorio"", ""score"": 0.801, ""rating"": 4.7, ""price"": ""$$$"", ""distance_m"": 97.6, ""cuisines"": [""greek"", ""mediterranean""], ""lat"": 40.765385, ""lon"": -73.978002, ""url"": ""https://www.yelp.com/biz/loi-estiatorio-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Manhattan,Central Park South,JW Marriott,New York,"160 Central Park S, New York, NY 10019",40.7661739,-73.9785098
