hotel_name,score,top_restaurants,borough,neighborhood,brand,city,address,lat,lon
Four Points by Sheraton Midtown - Times Square,0.855691,"[{""name"": ""Aya Sushi"", ""score"": 0.896, ""rating"": 3.9, ""price"": ""$$"", ""distance_m"": 92.4, ""cuisines"": [""japanese""], ""lat"": 40.75561, ""lon"": -73.99207, ""url"": ""https://www.yelp.com/biz/aya-sushi-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Casa Di Isacco"", ""score"": 0.894, ""rating"": 3.9, ""price"": ""$$"", ""distance_m"": 99.0, ""cuisines"": [""italian"", ""seafood"", ""wine_bars""], ""lat"": 40.7568, ""lon"": -73.99342, ""url"": ""https://www.yelp.com/biz/casa-di-isacco-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Mercato"", ""score"": 0.884, ""rating"": 3.8, ""price"": ""$$$"", ""distance_m"": 112.3, ""cuisines"": [""italian"", ""cocktailbars"", ""desserts""], ""lat"": 40.75626, ""lon"": -73.99364, ""url"": ""https://www.yelp.com/biz/mercato-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Catzuneko Shokudo"", ""score"": 0.811, ""rating"": 5.0, ""price"": NaN, ""distance_m"": 134.8, ""cuisines"": [""japanese"", ""sushi""], ""lat"": 40.75627375223928, ""lon"": -73.99394420000002, ""url"": ""https://www.yelp.com/biz/catzuneko-shokudo-new-york-3?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Buena Vista Restaurant & Bar"", ""score"": 0.793, ""rating"": 4.6, ""price"": ""$$$"", ""distance_m"": 99.0, ""cuisines"": [""bars"", ""latin"", ""seafood""], ""lat"": 40.75686, ""lon"": -73.99356, ""url"": ""https://www.yelp.com/biz/buena-vista-restaurant-and-bar-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Manhattan,Times Square,Four Points by Sheraton,New York,"326 W 40th St, New York, NY 10018",40.7564066,-73.9923532
Moxy Brooklyn Williamsburg,0.847869,"[{""name"": ""Motorino Pizza"", ""score"": 0.905, ""rating"": 3.8, ""price"": ""$$"", ""distance_m"": 35.6, ""cuisines"": [""pizza"", ""italian"", ""cocktailbars""], ""lat"": 40.7104799, ""lon"": -73.96351, ""url"": ""https://www.yelp.com/biz/motorino-pizzeria-napoletana-brooklyn?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Social House Cafe"", ""score"": 0.898, ""rating"": 4.4, ""price"": ""$$"", ""distance_m"": 217.8, ""cuisines"": [""coffee"", ""cafes"", ""italian""], ""lat"": 40.7102965207822, ""lon"": -73.966014, ""url"": ""https://www.yelp.com/biz/social-house-cafe-brooklyn?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Noods n’ Chill"", ""score"": 0.866, ""rating"": 4.0, ""price"": ""$$"", ""distance_m"": 233.4, ""cuisines"": [""thai""], ""lat"": 40.71194, ""lon"": -73.96121, ""url"": ""https://www.yelp.com/biz/noods-n-chill-brooklyn?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""OTB"", ""score"": 0.79, ""rating"": 4.3, ""price"": ""$$"", ""distance_m"": 36.5, ""cuisines"": [""newamerican"", ""breakfast_brunch"", ""cocktailbars""], ""lat"": 40.71045, ""lon"": -73.96345, ""url"": ""https://www.yelp.com/biz/otb-brooklyn?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Francie"", ""score"": 0.78, ""rating"": 4.4, ""price"": ""$$$$"", ""distance_m"": 95.7, ""cuisines"": [""italian"", ""french"", ""cocktailbars""], ""lat"": 40.71002578663716, ""lon"": -73.96405744314846, ""url"": ""https://www.yelp.com/biz/francie-brooklyn?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Brooklyn,Williamsburg,Moxy (Marriott),New York,"353 Bedford Ave, Brooklyn, NY 11211",40.71078,-73.96351
Residence Inn New York Manhattan/Times Square,0.845978,"[{""name"": ""Pisillo Italian Panini"", ""score"": 0.963, ""rating"": 4.8, ""price"": ""$$"", ""distance_m"": 78.8, ""cuisines"": [""delis"", ""italian"", ""sandwiches""], ""lat"": 40.752521, ""lon"": -73.9866864, ""url"": ""https://www.yelp.com/biz/pisillo-italian-panini-new-york-6?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Napoli Pizza"", ""score"": 0.912, ""rating"": 3.9, ""price"": ""$"", ""distance_m"": 37.5, ""cuisines"": [""pizza"", ""pastashops"", ""italian""], ""lat"": 40.75274377588595, ""lon"": -73.9854148, ""url"": ""https://www.yelp.com/biz/napoli-pizza-new-york-5?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Kajiken"", ""score"": 0.787, ""rating"": 4.5, ""price"": ""$$"", ""distance_m"": 96.3, ""cuisines"": [""ramen"", ""noodles""], ""lat"": 40.752060143128205, ""lon"": -73.98636590329981, ""url"": ""https://www.yelp.com/biz/kajiken-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Class On 38th"", ""score"": 0.785, ""rating"": 4.5, ""price"": NaN, ""distance_m"": 102.3, ""cuisines"": [""bars"", ""japanese"", ""seafood""], ""lat"": 40.75216148352418, ""lon"": -73.98501159999999, ""url"": ""https://www.yelp.com/biz/class-on-38th-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Peppercorn Station"", ""score"": 0.783, ""rating"": 4.3, ""price"": ""$$"", ""distance_m"": 61.4, ""cuisines"": [""szechuan""], ""lat"": 40.75266, ""lon"": -73.985145, ""url"": ""https://www.yelp.com/biz/peppercorn-station-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Manhattan,Times Square,Residence Inn by Marriott,New York,"1033 6th Ave, New York, NY 10018",40.7528306,-73.9858447
W New York - Union Square,0.842804,"[{""name"": ""Paul & Jimmy's"", ""score"": 0.892, ""rating"": 3.9, ""price"": ""$$$"", ""distance_m"": 108.8, ""cuisines"": [""italian""], ""lat"": 40.73682, ""lon"": -73.987251, ""url"": ""https://www.yelp.com/biz/paul-and-jimmys-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Yama"", ""score"": 0.879, ""rating"": 3.7, ""price"": ""$$"", ""distance_m"": 104.2, ""cuisines"": [""japanese"", ""sushi""], ""lat"": 40.73590516663025, ""lon"": -73.98767988956808, ""url"": ""https://www.yelp.com/biz/yama-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""The Stand Comedy Club & Restaurant"", ""score"": 0.877, ""rating"": 3.8, ""price"": ""$$"", ""distance_m"": 137.6, ""cuisines"": [""comedyclubs"", ""cocktailbars"", ""italian""], ""lat"": 40.73542, ""lon"": -73.98835, ""url"": ""https://www.yelp.com/biz/the-stand-comedy-club-and-restaurant-new-york-3?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Boucherie Union Square"", ""score"": 0.784, ""rating"": 4.4, ""price"": ""$$$"", ""distance_m"": 80.4, ""cuisines"": [""steak"", ""french"", ""cocktailbars""], ""lat"": 40.73725824850519, ""lon"": -73.9882252705524, ""url"": ""https://www.yelp.com/biz/boucherie-union-square-new-york-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Oceans New York"", ""score"": 0.783, ""rating"": 4.5, ""price"": ""$$$"", ""distance_m"": 112.1, ""cuisines"": [""seafood"", ""wine_bars"", ""sushi""], ""lat"": 40.737408, ""lon"": -73.987887, ""url"": ""https://www.yelp.com/biz/oceans-new-york-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Manhattan,Union Square,W Hotels,New York,"201 Park Ave S, New York, NY 10003",40.7365762,-73.9885429
Moxy NYC Chelsea,0.835093,"[{""name"": ""Hanamizuki Cafe"", ""score"": 0.906, ""rating"": 4.2, ""price"": ""$$"", ""distance_m"": 134.1, ""cuisines"": [""cafes"", ""coffee"", ""japanese""], ""lat"": 40.74756805565555, ""lon"": -73.99161579999999, ""url"": ""https://www.yelp.com/biz/hanamizuki-cafe-new-york-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""L'Amico NYC"", ""score"": 0.883, ""rating"": 3.7, ""price"": ""$$$"", ""distance_m"": 88.7, ""cuisines"": [""italian"", ""bars"", ""pizza""], ""lat"": 40.747083, ""lon"": -73.990154, ""url"": ""https://www.yelp.com/biz/l-amico-nyc-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Mala Panda"", ""score"": 0.798, ""rating"": 4.6, ""price"": ""$$"", ""distance_m"": 80.5, ""cuisines"": [""chinese"", ""seafood"", ""hotpot""], ""lat"": 40.74582305157627, ""lon"": -73.99136341799563, ""url"": ""https://www.yelp.com/biz/mala-panda-new-york-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Loopy's Eatery"", ""score"": 0.798, ""rating"": 4.9, ""price"": ""$$"", ""distance_m"": 158.7, ""cuisines"": [""korean"", ""asianfusion"", ""cheesesteaks""], ""lat"": 40.747399, ""lon"": -73.992377, ""url"": ""https://www.yelp.com/biz/loopys-eatery-new-york-3?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Antojito Mexicano"", ""score"": 0.79, ""rating"": 4.4, ""price"": ""$"", ""distance_m"": 60.0, ""cuisines"": [""mexican"", ""foodstands""], ""lat"": 40.7460380678347, ""lon"": -73.9905191880082, ""url"": ""https://www.yelp.com/biz/antojito-mexicano-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Manhattan,Chelsea/NoMad,Moxy (Marriott),New York,"105 W 28th St, New York, NY 10001",40.7464744,-73.9909462
Sheraton Tribeca New York Hotel,0.823408,"[{""name"": ""Tataki Japanese Restaurant"", ""score"": 0.872, ""rating"": 3.5, ""price"": ""$$"", ""distance_m"": 80.1, ""cuisines"": [""japanese""], ""lat"": 40.72067, ""lon"": -74.00486, ""url"": ""https://www.yelp.com/biz/tataki-japanese-restaurant-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Il Mulino Prime - Soho"", ""score"": 0.85, ""rating"": 3.5, ""price"": ""$$$"", ""distance_m"": 159.7, ""cuisines"": [""steak"", ""italian""], ""lat"": 40.72219, ""lon"": -74.00376, ""url"": ""https://www.yelp.com/biz/il-mulino-prime-soho-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Panang Panang Thai Curry"", ""score"": 0.826, ""rating"": 5.0, ""price"": NaN, ""distance_m"": 83.2, ""cuisines"": [""fooddeliveryservices"", ""thai""], ""lat"": 40.72022426060824, ""lon"": -74.00463335005966, ""url"": ""https://www.yelp.com/biz/panang-panang-thai-curry-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Lucia Alimentari"", ""score"": 0.794, ""rating"": 4.6, ""price"": NaN, ""distance_m"": 95.9, ""cuisines"": [""grocery"", ""sandwiches"", ""italian""], ""lat"": 40.72148028406957, ""lon"": -74.0043592982251, ""url"": ""https://www.yelp.com/biz/lucia-alimentari-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Pepolino Restaurant"", ""score"": 0.776, ""rating"": 4.3, ""price"": ""$$$"", ""distance_m"": 85.6, ""cuisines"": [""tuscan""], ""lat"": 40.720756, ""lon"": -74.004885, ""url"": ""https://www.yelp.com/biz/pepolino-restaurant-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Manhattan,Tribeca,Sheraton,New York,"370 Canal St, New York, NY 10013",40.7207008,-74.0038721
AC Hotel New York Times Square,0.812811,"[{""name"": ""Upside Pizza"", ""score"": 0.884, ""rating"": 3.7, ""price"": ""$"", ""distance_m"": 84.9, ""cuisines"": [""pizza"", ""italian""], ""lat"": 40.7550912, ""lon"": -73.9911494, ""url"": ""https://www.yelp.com/biz/upside-pizza-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Modern Tea & Salad"", ""score"": 0.815, ""rating"": 5.0, ""price"": ""$$"", ""distance_m"": 120.1, ""cuisines"": [""bubbletea"", ""salad""], ""lat"": 40.75538, ""lon"": -73.99155, ""url"": ""https://www.yelp.com/biz/modern-tea-and-salad-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Awesum Dimsum"", ""score"": 0.797, ""rating"": 4.4, ""price"": ""$$"", ""distance_m"": 36.8, ""cuisines"": [""dimsum"", ""cantonese""], ""lat"": 40.7557, ""lon"": -73.9907, ""url"": ""https://www.yelp.com/biz/awesum-dimsum-new-york-5?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""BTS - Bagel To Sandwich"", ""score"": 0.786, ""rating"": 4.5, ""price"": ""$$"", ""distance_m"": 100.4, ""cuisines"": [""breakfast_brunch"", ""bagels"", ""bakeries""], ""lat"": 40.75532, ""lon"": -73.98949, ""url"": ""https://www.yelp.com/biz/bts-bagel-to-sandwich-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Maiz"", ""score"": 0.782, ""rating"": 4.2, ""price"": ""$$"", ""distance_m"": 41.7, ""cuisines"": [""mexican""], ""lat"": 40.755414979327306, ""lon"": -73.99069290204672, ""url"": ""https://www.yelp.com/biz/maiz-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Manhattan,Times Square,AC Hotels by Marriott,New York,"260 W 40th St, New York, NY 10018",40.7556434,-73.9903003
SpringHill Suites New York Midtown Manhattan/Fifth Avenue,0.811546,"[{""name"": ""Togyushi"", ""score"": 0.84, ""rating"": 5.0, ""price"": NaN, ""distance_m"": 32.9, ""cuisines"": [""japanese"", ""steak"", ""cocktailbars""], ""lat"": 40.751355, ""lon"": -73.984991, ""url"": ""https://www.yelp.com/biz/togyushi-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Kiai"", ""score"": 0.817, ""rating"": 5.0, ""price"": NaN, ""distance_m"": 114.5, ""cuisines"": [""japanese""], ""lat"": 40.752082, ""lon"": -73.984027, ""url"": ""https://www.yelp.com/biz/kiai-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Umami Bistro"", ""score"": 0.817, ""rating"": 5.0, ""price"": NaN, ""distance_m"": 114.5, ""cuisines"": [""japanese"", ""catering"", ""personalchefs""], ""lat"": 40.75218, ""lon"": -73.98394, ""url"": ""https://www.yelp.com/biz/umami-bistro-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Watami Japanese"", ""score"": 0.806, ""rating"": 4.6, ""price"": NaN, ""distance_m"": 53.8, ""cuisines"": [""sushi"", ""japanese""], ""lat"": 40.7510009, ""lon"": -73.9852485, ""url"": ""https://www.yelp.com/biz/watami-japanese-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Tonchin"", ""score"": 0.778, ""rating"": 4.4, ""price"": ""$$"", ""distance_m"": 104.9, ""cuisines"": [""ramen"", ""cocktailbars"", ""chicken_wings""], ""lat"": 40.7502727, ""lon"": -73.9844951, ""url"": ""https://www.yelp.com/biz/tonchin-new-york-6?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Manhattan,Midtown West,SpringHill Suites by Marriott,New York,"25 W 37th St, New York, NY 10018",40.7512066,-73.9846704
New York Marriott Downtown,0.805137,"[{""name"": ""Eataly NYC Downtown"", ""score"": 0.843, ""rating"": 3.7, ""price"": ""$$"", ""distance_m"": 242.6, ""cuisines"": [""grocery"", ""italian"", ""cafes""], ""lat"": 40.710206, ""lon"": -74.011823, ""url"": ""https://www.yelp.com/biz/eataly-nyc-downtown-new-york-2?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""La Pizza & La Pasta at Eataly NYC Downtown"", ""score"": 0.829, ""rating"": 3.5, ""price"": ""$$"", ""distance_m"": 242.6, ""cuisines"": [""pizza"", ""pastashops"", ""italian""], ""lat"": 40.710206, ""lon"": -74.011823, ""url"": ""https://www.yelp.com/biz/la-pizza-and-la-pasta-at-eataly-nyc-downtown-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Osteria della Pace"", ""score"": 0.801, ""rating"": 3.1, ""price"": ""$$$"", ""distance_m"": 242.6, ""cuisines"": [""italian""], ""lat"": 40.7096522, ""lon"": -74.0112896, ""url"": ""https://www.yelp.com/biz/osteria-della-pace-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Regular NYC"", ""score"": 0.788, ""rating"": 4.8, ""price"": ""$$"", ""distance_m"": 170.4, ""cuisines"": [""breakfast_brunch"", ""coffee"", ""bagels""], ""lat"": 40.70801, ""lon"": -74.013984, ""url"": ""https://www.yelp.com/biz/regular-nyc-new-york-5?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}, {""name"": ""Schilling Restaurant & Bar"", ""score"": 0.766, ""rating"": 4.2, ""price"": ""$$"", ""distance_m"": 97.1, ""cuisines"": [""austrian"", ""bars"", ""newamerican""], ""lat"": 40.70876746027962, ""lon"": -74.01401660338927, ""url"": ""https://www.yelp.com/biz/schilling-restaurant-and-bar-new-york?adjust_creative=7L58B9086saOW4zCCye5mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7L58B9086saOW4zCCye5mg""}]",Manhattan,Financial District,Marriott Hotels & Resorts,New York,"85 West St, New York, NY 10006",40.7095189,-74.0146033
